Sentences,Sentiment
"म एक शिक्षक , शिक्षा क्षेत्रमा रमाएको मान्छे । सामुदायिक विद्यालयमा अध्यापन गराउछु। मलाइ यो चलचित्रले मन नै छोयो । वास्तविक घटना यहि हो कि नेपालका तमाम सामुदायिक विद्यालय यहि समस्या बाट गुज्रीत छन । यस्तै शिक्षा सम्बन्धीको चलचित्र बनोस भनेर अपेक्षा गरेको थिए, आसा पूरा भयो । धन्यवाद सबै लाइ",1
म सरकारी स्कूल/कलेजमा पढेर करीब १२ बर्ष भन्दा बढी बिभिन्न बोडिङ्ग स्कूलमा पढाएको शिक्षक तर पनि म सरकारी स्कूल नै राम्रो हुनुपर्छ भन्छु । फिल्म सन्देशमुलक छ।सबैले हेर्नुहोला।,1
कति राम्रो शिव मन्दिर देख्न पाइयो कुन ठाउको होला ?धन्यवाद सम्पुर्ण टिमलाई विशेष केदार अनि काली आमा,1
मारुनी भन्ने वितिकै सामान्य नाचनीमा आधारित कथा होला जस्तो लागेको थियो । तर यस्तो कथामा आधारित र यती राम्रो कहानी फिल्म होला जस्तो सोचेको थिईन । जव फिल्म पूरा हेरियो साचै नेपाली फिल्म इन्ड्रस्टी मा ठूलो फडको मारेको जस्तो लाग्यो मारुनी / सवैलाई हेर्न अनुरोध गर्दछु । रेटिङ ५ स्टार ।  मारुनी फिल्म टिमलाई धन्यवाद ।,1
यो फ्लिम हेरिसकेपछी थाहा भयो कि किन दर्सकहरुले साम्राज्ञिलाई यति धेरै माया गर्नुहुन्छ भनेर।उहाको अभिनयको जति नै तारिफ गरे नि कमै हुन्छ।,1
उपनियाशमा चलचित्र बनाउदा सबैको बुचार गरेर बनाको भय राम्रो हुने थियो कलकार छनोट अनि उमेरमा धेरै फरक परेको छ जस्तो बसन्ती चलचित्र जस्तो बन्न सकेन,-1
 नेपालमा बनेको अहिले सम्मको सबै भन्दा खाते फिल्म यहि हो !!! के सोचेर यस्तो हावादारि छेउ न टुप्पोको फिल्म बनाको होला । ,-1
"कठै बिचारा कस्तो निर्देशक कस्ता कलाकार, इतिहास लाई मजाक बनाइदिने पहिला अध्यान त गर्नु , हावा को भर मा फिल्म बनाउने अनि काहा बाट पाहुछ हल मा दर्शक छि छि छि छि लाज लाग्यो मलाई किताब पढेर फिल्म हेर्दा",-1
यो फिल्मले मन छोयो एकदमै राम्रो छ,1
राम्रो छ फिल्म। यत्तीको फिल्म नेपालमा आउनु नै ठूलो कुरा हो,1
फिल्म साच्चिकै धेरै राम्रो रहेछ तेस मा पनि नेपाल को झन्डा ले सुन मा सुगन्ध नै थपिदिएको छ,1
धेरै राम्रो लाग्यो दामि,1
फिल्म हलमा पनि हेरेको हो अब युटुबमा पनि।।। फिल्म राम्रो छ।अनमोलको अभिनय पनि धेरै राम्रो छ यो फिल्ममा अरुमा भन्दा।,1
कथा हरु मा केही ठिक भए पनि कलाकार पात्र हरु कुनै राम्रो भएन,-1
"खै के भनु फिल्म त राम्रो लागेन , अलि राम्रो कलाकार लिएर बनाउनु पने थियोे",-1
बाटो बाट टीपेर ल्यको कलाकार हरू हो कि क्या हो?! डाइमंड शमशेर को किताब को बेज्जत।,-1
"मलाई फिल्म धेरै मनपर्यो, हल्का रोए पनि",1
कथा बस्तु राम्रो लागेन मलाई त पहिलो भाग नै उतम थियो यो उचित लागेन।,-1
